module,source,mapping_type,target,file
gov,gov:DataUsePermission,skos:closeMatch,obo:DUO_0000001,ontology/alignments/agento-align-duo.ttl
gov,gov:DataUseRestriction,skos:closeMatch,obo:DUO_0000017,ontology/alignments/agento-align-duo.ttl
gov,gov:DataUseCondition,skos:relatedMatch,obo:DUO_0000001,ontology/alignments/agento-align-duo.ttl
eval,eval:DatasetUseContext,skos:relatedMatch,obo:DUO_0000001,ontology/alignments/agento-align-duo.ttl
eval,eval:hasDataUseCondition,skos:relatedMatch,obo:DUO_0000001,ontology/alignments/agento-align-duo.ttl
eval,eval:hasDataUsePermission,skos:relatedMatch,obo:DUO_0000001,ontology/alignments/agento-align-duo.ttl
gov,gov:DataUseCondition,skos:relatedMatch,obo:DUO_0000017,ontology/alignments/agento-align-duo.ttl
eval,eval:hasDataUseCondition,skos:relatedMatch,obo:DUO_0000017,ontology/alignments/agento-align-duo.ttl
eval,eval:hasDataUseRestriction,skos:relatedMatch,obo:DUO_0000017,ontology/alignments/agento-align-duo.ttl
gov,gov:constrainsDataUse,skos:relatedMatch,obo:DUO_0000017,ontology/alignments/agento-align-duo.ttl
gov,gov:ConsentConstraint,skos:relatedMatch,obo:DUO_0000027,ontology/alignments/agento-align-duo.ttl
health,health:PatientRecordInput,skos:closeMatch,fhir:Patient,ontology/alignments/agento-align-fhir.ttl
health,health:ObservationInput,skos:closeMatch,fhir:Observation,ontology/alignments/agento-align-fhir.ttl
health,health:ConditionInput,skos:closeMatch,fhir:Condition,ontology/alignments/agento-align-fhir.ttl
health,health:ProcedureInput,skos:closeMatch,fhir:Procedure,ontology/alignments/agento-align-fhir.ttl
health,health:DiagnosticReportInput,skos:closeMatch,fhir:DiagnosticReport,ontology/alignments/agento-align-fhir.ttl
health,health:FHIRProfile,skos:closeMatch,fhir:StructureDefinition,ontology/alignments/agento-align-fhir.ttl
health,health:FHIRResourceInput,skos:relatedMatch,fhir:Resource,ontology/alignments/agento-align-fhir.ttl
health,health:EHRInput,skos:relatedMatch,fhir:Resource,ontology/alignments/agento-align-fhir.ttl
health,health:ExchangeStandard,skos:relatedMatch,fhir:Resource,ontology/alignments/agento-align-fhir.ttl
health,health:mapsToFHIRResource,skos:relatedMatch,fhir:Resource,ontology/alignments/agento-align-fhir.ttl
health,health:usesFHIRResourceType,skos:relatedMatch,fhir:Resource,ontology/alignments/agento-align-fhir.ttl
health,health:derivedFromFHIRResource,skos:relatedMatch,fhir:Resource,ontology/alignments/agento-align-fhir.ttl
health,health:MedicationInput,skos:relatedMatch,fhir:Medication,ontology/alignments/agento-align-fhir.ttl
health,health:MedicationInput,skos:relatedMatch,fhir:MedicationRequest,ontology/alignments/agento-align-fhir.ttl
health,health:TerminologySystem,skos:relatedMatch,fhir:CodeSystem,ontology/alignments/agento-align-fhir.ttl
health,health:usesTerminologySystem,skos:relatedMatch,fhir:CodeSystem,ontology/alignments/agento-align-fhir.ttl
health,health:TerminologySystem,skos:relatedMatch,fhir:ValueSet,ontology/alignments/agento-align-fhir.ttl
health,health:usesTerminologySystem,skos:relatedMatch,fhir:ValueSet,ontology/alignments/agento-align-fhir.ttl
health,health:InterfaceSpecification,skos:relatedMatch,fhir:Endpoint,ontology/alignments/agento-align-fhir.ttl
health,health:usesFHIRProfile,skos:relatedMatch,fhir:StructureDefinition,ontology/alignments/agento-align-fhir.ttl
doc,doc:Reference,rdfs:subClassOf,obo:IAO_0000030,ontology/alignments/agento-align-iao.ttl
doc,doc:Citation,rdfs:subClassOf,obo:IAO_0000030,ontology/alignments/agento-align-iao.ttl
doc,doc:Template,rdfs:subClassOf,obo:IAO_0000030,ontology/alignments/agento-align-iao.ttl
doc,doc:ProvenanceRecord,rdfs:subClassOf,obo:IAO_0000030,ontology/alignments/agento-align-iao.ttl
doc,doc:LineageTrace,rdfs:subClassOf,obo:IAO_0000030,ontology/alignments/agento-align-iao.ttl
report,report:ReportingStatement,rdfs:subClassOf,obo:IAO_0000030,ontology/alignments/agento-align-iao.ttl
report,report:IntendedUseStatement,rdfs:subClassOf,obo:IAO_0000030,ontology/alignments/agento-align-iao.ttl
report,report:ReportingRequirement,rdfs:subClassOf,obo:IAO_0000030,ontology/alignments/agento-align-iao.ttl
report,report:EvidenceStatement,rdfs:subClassOf,obo:IAO_0000030,ontology/alignments/agento-align-iao.ttl
report,report:ReportingCompletenessAssessment,rdfs:subClassOf,obo:IAO_0000030,ontology/alignments/agento-align-iao.ttl
report,report:AgentSystemReport,rdfs:subClassOf,obo:IAO_0000310,ontology/alignments/agento-align-iao.ttl
report,report:AssessableReport,rdfs:subClassOf,obo:IAO_0000310,ontology/alignments/agento-align-iao.ttl
report,report:BenchmarkReport,rdfs:subClassOf,obo:IAO_0000310,ontology/alignments/agento-align-iao.ttl
report,report:SurveyReviewReport,rdfs:subClassOf,obo:IAO_0000310,ontology/alignments/agento-align-iao.ttl
report,report:GovernancePolicyReport,rdfs:subClassOf,obo:IAO_0000310,ontology/alignments/agento-align-iao.ttl
report,report:MethodModelReport,rdfs:subClassOf,obo:IAO_0000310,ontology/alignments/agento-align-iao.ttl
report,report:ConceptualCommentaryReport,rdfs:subClassOf,obo:IAO_0000310,ontology/alignments/agento-align-iao.ttl
report,report:AgentCard,rdfs:subClassOf,obo:IAO_0000310,ontology/alignments/agento-align-iao.ttl
report,report:AgentSystemDocumentation,rdfs:subClassOf,obo:IAO_0000310,ontology/alignments/agento-align-iao.ttl
report,report:ModelCardReference,rdfs:subClassOf,obo:IAO_0000310,ontology/alignments/agento-align-iao.ttl
report,report:ModelCardReport,rdfs:subClassOf,obo:IAO_0000310,ontology/alignments/agento-align-iao.ttl
report,report:ReportingSection,rdfs:subClassOf,obo:IAO_0000314,ontology/alignments/agento-align-iao.ttl
report,report:RuntimeArchitectureSection,rdfs:subClassOf,obo:IAO_0000314,ontology/alignments/agento-align-iao.ttl
report,report:WorkflowSection,rdfs:subClassOf,obo:IAO_0000314,ontology/alignments/agento-align-iao.ttl
report,report:ToolUseSection,rdfs:subClassOf,obo:IAO_0000314,ontology/alignments/agento-align-iao.ttl
report,report:MemorySection,rdfs:subClassOf,obo:IAO_0000314,ontology/alignments/agento-align-iao.ttl
report,report:PlanningReasoningSection,rdfs:subClassOf,obo:IAO_0000314,ontology/alignments/agento-align-iao.ttl
report,report:EvaluationReportingSection,rdfs:subClassOf,obo:IAO_0000314,ontology/alignments/agento-align-iao.ttl
report,report:GovernanceReportingSection,rdfs:subClassOf,obo:IAO_0000314,ontology/alignments/agento-align-iao.ttl
report,report:HumanReviewSection,rdfs:subClassOf,obo:IAO_0000314,ontology/alignments/agento-align-iao.ttl
report,report:DataUseSection,rdfs:subClassOf,obo:IAO_0000314,ontology/alignments/agento-align-iao.ttl
report,report:DeploymentContextSection,rdfs:subClassOf,obo:IAO_0000314,ontology/alignments/agento-align-iao.ttl
report,report:ReproducibilitySection,rdfs:subClassOf,obo:IAO_0000314,ontology/alignments/agento-align-iao.ttl
doc,doc:Asset,skos:relatedMatch,obo:IAO_0000030,ontology/alignments/agento-align-iao.ttl
core,core:Artifact,skos:relatedMatch,obo:IAO_0000030,ontology/alignments/agento-align-iao.ttl
report,report:ModelCardReference,skos:closeMatch,obo:MCRO_0000001,ontology/alignments/agento-align-mcro.ttl
report,report:ModelCardReport,skos:closeMatch,obo:MCRO_0000001,ontology/alignments/agento-align-mcro.ttl
core,core:ModelInputSpecification,skos:closeMatch,obo:MCRO_0000015,ontology/alignments/agento-align-mcro.ttl
core,core:ModelOutputSpecification,skos:closeMatch,obo:MCRO_0000024,ontology/alignments/agento-align-mcro.ttl
report,report:EvaluationReportingSection,skos:closeMatch,obo:MCRO_0000027,ontology/alignments/agento-align-mcro.ttl
doc,doc:License,skos:closeMatch,obo:MCRO_0000016,ontology/alignments/agento-align-mcro.ttl
gov,gov:Risk,skos:closeMatch,obo:MCRO_0000033,ontology/alignments/agento-align-mcro.ttl
core,core:ModelIntendedUse,skos:closeMatch,obo:MCRO_0000029,ontology/alignments/agento-align-mcro.ttl
report,report:IntendedUseStatement,skos:closeMatch,obo:MCRO_0000029,ontology/alignments/agento-align-mcro.ttl
core,core:ModelIntendedUse,skos:closeMatch,obo:MCRO_0000038,ontology/alignments/agento-align-mcro.ttl
report,report:IntendedUseStatement,skos:closeMatch,obo:MCRO_0000038,ontology/alignments/agento-align-mcro.ttl
health,health:IntendedUserRole,skos:closeMatch,obo:MCRO_0000030,ontology/alignments/agento-align-mcro.ttl
health,health:IntendedUserRole,skos:closeMatch,obo:MCRO_0000039,ontology/alignments/agento-align-mcro.ttl
report,report:AgentSystemReport,skos:relatedMatch,obo:MCRO_0000001,ontology/alignments/agento-align-mcro.ttl
report,report:AgentCard,skos:relatedMatch,obo:MCRO_0000001,ontology/alignments/agento-align-mcro.ttl
core,core:AIModelSpecification,skos:relatedMatch,obo:MCRO_0000021,ontology/alignments/agento-align-mcro.ttl
core,core:ModelComponent,skos:relatedMatch,obo:MCRO_0000021,ontology/alignments/agento-align-mcro.ttl
core,core:AIModelSpecification,skos:relatedMatch,obo:MCRO_0000019,ontology/alignments/agento-align-mcro.ttl
eval,eval:Dataset,skos:relatedMatch,obo:MCRO_0000006,ontology/alignments/agento-align-mcro.ttl
eval,eval:Dataset,skos:relatedMatch,obo:MCRO_0000008,ontology/alignments/agento-align-mcro.ttl
eval,eval:Dataset,skos:relatedMatch,obo:MCRO_0000037,ontology/alignments/agento-align-mcro.ttl
gov,gov:PrivacyConstraint,skos:relatedMatch,obo:MCRO_0000028,ontology/alignments/agento-align-mcro.ttl
gov,gov:PrivacyConstraint,skos:relatedMatch,obo:MCRO_0000034,ontology/alignments/agento-align-mcro.ttl
health,health:ClinicalUseCase,skos:relatedMatch,obo:MCRO_0000029,ontology/alignments/agento-align-mcro.ttl
health,health:ClinicalUseCase,skos:relatedMatch,obo:MCRO_0000038,ontology/alignments/agento-align-mcro.ttl
gov,gov:NISTGovern,skos:exactMatch,<https://airc.nist.gov/airmf-resources/airmf/5-sec-core/#govern>,ontology/alignments/agento-align-nist-rmf.ttl
gov,gov:NISTMap,skos:exactMatch,<https://airc.nist.gov/airmf-resources/airmf/5-sec-core/#map>,ontology/alignments/agento-align-nist-rmf.ttl
gov,gov:NISTMeasure,skos:exactMatch,<https://airc.nist.gov/airmf-resources/airmf/5-sec-core/#measure>,ontology/alignments/agento-align-nist-rmf.ttl
gov,gov:NISTManage,skos:exactMatch,<https://airc.nist.gov/airmf-resources/airmf/5-sec-core/#manage>,ontology/alignments/agento-align-nist-rmf.ttl
gov,gov:Policy,skos:relatedMatch,gov:NISTGovern,ontology/alignments/agento-align-nist-rmf.ttl
gov,gov:AccountabilityRole,skos:relatedMatch,gov:NISTGovern,ontology/alignments/agento-align-nist-rmf.ttl
gov,gov:AuditEvent,skos:relatedMatch,gov:NISTGovern,ontology/alignments/agento-align-nist-rmf.ttl
gov,gov:HumanReviewRequirement,skos:relatedMatch,gov:NISTGovern,ontology/alignments/agento-align-nist-rmf.ttl
gov,gov:AutomationLevel,skos:relatedMatch,gov:NISTGovern,ontology/alignments/agento-align-nist-rmf.ttl
health,health:ClinicalSetting,skos:relatedMatch,gov:NISTMap,ontology/alignments/agento-align-nist-rmf.ttl
