paper_id,title,paper_type,total_score,reasons
a-comprehensive-survey-on-the-trustworthiness-of-large-language-models-in-health,A Comprehensive Survey on the Trustworthiness of Large Language Models in Healthcare,survey_review,86.67,invalid_evidence_dropped
a-general-purpose-ai-avatar-in-healthcare,A General-purpose AI Avatar in Healthcare,agent_system,38.89,low_paper_type_confidence
a-multimodal-multi-agent-framework-for-radiology-report-generation,A MULTIMODAL MULTI-AGENT FRAMEWORK FOR RADIOLOGY REPORT GENERATION,agent_system,57.5,low_dimension_confidence
a-multi-agent-approach-to-neurological-clinical-reasoning,A Multi-Agent Approach to Neurological Clinical Reasoning,benchmark,77.5,low_paper_type_confidence
a-survey-on-medical-large-language-models-technology-application-trustworthiness,"A Survey on Medical Large Language Models: Technology, Application, Trustworthiness, and Future Directions",survey_review,0.0,score_affecting_response_repair
a-feasibility-study-of-automating-radiotherapy-planning-with-large-language-mode,A feasibility study of automating radiotherapy planning with large language model agents,agent_system,67.5,invalid_evidence_dropped
adasearch-balancing-parametric-knowledge-and-search-in-large-language-models-via,ADASEARCH: BALANCING PARAMETRIC KNOWLEDGE AND SEARCH IN LARGE LANGUAGE MODELS VIA REINFORCEMENT LEARNING,method_model,35.0,low_paper_type_confidence; score_affecting_response_repair
agentehr-advancing-autonomous-clinical-decision-making-via-retrospective-summari,AGENTEHR: Advancing Autonomous Clinical Decision-Making via Retrospective Summarization,benchmark,77.5,low_dimension_confidence; low_paper_type_confidence
agentic-ai-governance-and-lifecycle-management-in-healthcare,AGENTIC AI GOVERNANCE AND LIFECYCLE MANAGEMENT IN HEALTHCARE,governance_policy,46.67,score_affecting_response_repair
ai-agents-in-clinical-medicine-a-systematic-review,AI Agents in Clinical Medicine: A Systematic Review,survey_review,93.33,invalid_evidence_dropped
ai-hospital-benchmarking-large-language-models-in-a-multi-agent-medical-interact,AI Hospital: Benchmarking Large Language Models in a Multi-agent Medical Interaction Simulator,benchmark,77.5,low_paper_type_confidence
ai-agent-in-healthcare-applications-evaluations-and-future-directions,"AI agent in healthcare: applications, evaluations, and future directions",survey_review,26.67,score_affecting_response_repair; invalid_evidence_dropped
ai-vaxguide-an-agentic-rag-based-llm-for-vaccination-decisions,AI-VAXGUIDE: AN AGENTIC RAG-BASED LLM FOR VACCINATION DECISIONS,agent_system,40.0,invalid_evidence_dropped
alpaca-a-reinforcement-learning-environment-for-medication-repurposing-and-treat,ALPACA: A Reinforcement Learning Environment for Medication Repurposing and Treatment Optimization in Alzheimer's Disease,benchmark,77.5,low_paper_type_confidence
atpo-adaptive-tree-policy-optimization-for-multi-turn-medical-dialogue,ATPO: Adaptive Tree Policy Optimization for Multi-Turn Medical Dialogue,method_model,67.5,score_affecting_response_repair; invalid_evidence_dropped
aura-a-multi-modal-medical-agent-for-understanding-reasoning-annotation,"AURA: A Multi-Modal Medical Agent for Understanding, Reasoning & Annotation",agent_system,80.0,low_dimension_confidence
autoct-automating-interpretable-clinical-trial-prediction-with-llm-agents,AUTOCT: Automating Interpretable Clinical Trial Prediction with LLM Agents,method_model,67.5,low_dimension_confidence; score_affecting_response_repair
adaptive-reasoning-and-acting-in-medical-language-agents,Adaptive Reasoning and Acting in Medical Language Agents,agent_system,30.0,low_dimension_confidence; low_paper_type_confidence
agent-ai-with-langgraph-a-modular-framework-for-enhancing-machine-translation-us,Agent AI with LangGraph: A Modular Framework for Enhancing Machine Translation Using Large Language Models,agent_system,62.5,low_dimension_confidence; low_paper_type_confidence
agent-hospital-a-simulacrum-of-hospital-with-evolvable-medical-agents,Agent Hospital: A Simulacrum of Hospital with Evolvable Medical Agents,agent_system,67.5,invalid_evidence_dropped
agentclinic-a-multimodal-agent-benchmark-to-evaluate-ai-in-simulated-clinical-en,AgentClinic: a multimodal agent benchmark to evaluate AI in simulated clinical environments,benchmark,67.5,invalid_evidence_dropped
agentmri-a-vison-language-model-powered-ai-system-for-self-regulating-mri-recons,AgentMRI: A Vison Language Model-Powered AI System for Self-regulating MRI Reconstruction with Multiple Degradations,agent_system,45.0,score_affecting_response_repair; invalid_evidence_dropped
agentic-medical-knowledge-graphs-enhance-medical-question-answering-bridging-the,Agentic Medical Knowledge Graphs Enhance Medical Question Answering: Bridging the Gap Between LLMs and Evolving Medical Knowledge,method_model,67.5,low_paper_type_confidence
agentic-systems-in-radiology-design-applications-evaluation-and-challenges,"Agentic Systems in Radiology: Design, Applications, Evaluation, and Challenges",survey_review,40.0,low_dimension_confidence; score_affecting_response_repair; invalid_evidence_dropped
agentseval-clinically-faithful-evaluation-of-medical-imaging-reports-via-multi-a,AgentsEval: Clinically Faithful Evaluation of Medical Imaging Reports via Multi-Agent Reasoning,benchmark,90.0,low_dimension_confidence; low_paper_type_confidence
almanac-copilot-towards-autonomous-electronic-health-record-navigation,Almanac Copilot : Towards Autonomous Electronic Health Record Navigation,agent_system,77.5,score_affecting_response_repair
an-agentic-ai-framework-for-training-general-practitioner-student-skills,An Agentic AI Framework for Training General Practitioner Student Skills,agent_system,75.0,low_dimension_confidence; invalid_evidence_dropped
