paper_id,title,paper_type,baseline_paper_type,paper_type_disagreement,paper_type_confidence,status,total_score,rubric_version,prompt_version,human_verification_status,requires_human_review,human_review_reasons,error,runtime_architecture,evaluation,provenance_reproducibility,governance_safety,benchmark_process_alignment
builder-a-multi-agent-system-for-automated-machine-learning-in-medical-imaging,$\mathbf{M}^{3}$ Builder: A Multi-Agent System for Automated Machine Learning in Medical Imaging,agent_system,agent_system,False,0.9,judged,45.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,score_affecting_response_repair; invalid_evidence_dropped,,partial,partial,partial,missing,present
3dmedagent-unified-perception-to-understanding-for-3d-medical-analysis,3DMedAgent: Unified Perception-to-Understanding for 3D Medical Analysis,agent_system,agent_system,False,0.86,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,partial,present,partial,partial,present
a-comprehensive-survey-on-the-trustworthiness-of-large-language-models-in-health,A Comprehensive Survey on the Trustworthiness of Large Language Models in Healthcare,survey_review,survey_review,False,0.9,judged,86.67,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,invalid_evidence_dropped,,not_applicable,present,partial,present,present
a-feasibility-study-of-automating-radiotherapy-planning-with-large-language-mode,A feasibility study of automating radiotherapy planning with large language model agents,agent_system,agent_system,False,0.86,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,invalid_evidence_dropped,,partial,present,partial,partial,present
a-general-purpose-ai-avatar-in-healthcare,A General-purpose AI Avatar in Healthcare,agent_system,agent_system,False,0.78,judged,38.89,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_paper_type_confidence,,partial,partial,missing,partial,not_applicable
a-layered-debating-multi-agent-system-for-similar-disease-diagnosis,A Layered Debating Multi-Agent System for Similar Disease Diagnosis,agent_system,agent_system,False,0.86,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,partial,present,partial,partial,present
a-multi-agent-approach-to-neurological-clinical-reasoning,A Multi-Agent Approach to Neurological Clinical Reasoning,benchmark,agent_system,True,0.79,judged,77.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,True,low_paper_type_confidence,,partial,present,present,partial,present
a-multi-agent-framework-for-interpreting-multivariate-physiological-time-series,A Multi-Agent Framework for Interpreting Multivariate Physiological Time Series,agent_system,agent_system,False,0.9,judged,67.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,partial,present,partial,partial,present
a-multi-agent-framework-for-medical-ai-leveraging-fine-tuned-gpt-llama-and-deeps,"A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing",agent_system,agent_system,False,0.86,judged,95.0,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,present,present,present,present,partial
a-multi-agent-system-for-complex-reasoning-in-radiology-visual-question-answerin,A MULTI-AGENT SYSTEM FOR COMPLEX REASONING IN RADIOLOGY VISUAL QUESTION ANSWERING,agent_system,agent_system,False,0.9,judged,57.5,agento-reporting-completeness-2.2.3,blinded-multi-evidence-2.2.3,not_human_verified,False,,,partial,present,partial,missing,present
