no,paper_id,title,paper_type,completeness_score
1,builder-a-multi-agent-system-for-automated-machine-learning-in-medical-imaging,$\mathbf{M}^{3}$ Builder: A Multi-Agent System for Automated Machine Learning in Medical Imaging,agent_system,45.0
2,3dmedagent-unified-perception-to-understanding-for-3d-medical-analysis,3DMedAgent: Unified Perception-to-Understanding for 3D Medical Analysis,agent_system,67.5
3,a-comprehensive-survey-on-the-trustworthiness-of-large-language-models-in-health,A Comprehensive Survey on the Trustworthiness of Large Language Models in Healthcare,survey_review,86.67
4,a-feasibility-study-of-automating-radiotherapy-planning-with-large-language-mode,A feasibility study of automating radiotherapy planning with large language model agents,agent_system,67.5
5,a-general-purpose-ai-avatar-in-healthcare,A General-purpose AI Avatar in Healthcare,agent_system,38.89
6,a-layered-debating-multi-agent-system-for-similar-disease-diagnosis,A Layered Debating Multi-Agent System for Similar Disease Diagnosis,agent_system,67.5
7,a-multi-agent-approach-to-neurological-clinical-reasoning,A Multi-Agent Approach to Neurological Clinical Reasoning,benchmark,77.5
8,a-multi-agent-framework-for-interpreting-multivariate-physiological-time-series,A Multi-Agent Framework for Interpreting Multivariate Physiological Time Series,agent_system,67.5
9,a-multi-agent-framework-for-medical-ai-leveraging-fine-tuned-gpt-llama-and-deeps,"A Multi-Agent Framework for Medical AI: Leveraging Fine-Tuned GPT, LLaMA, and DeepSeek R1 for Evidence-Based and Bias-Aware Clinical Query Processing",agent_system,95.0
10,a-multi-agent-system-for-complex-reasoning-in-radiology-visual-question-answerin,A MULTI-AGENT SYSTEM FOR COMPLEX REASONING IN RADIOLOGY VISUAL QUESTION ANSWERING,agent_system,57.5
11,a-multimodal-multi-agent-framework-for-radiology-report-generation,A MULTIMODAL MULTI-AGENT FRAMEWORK FOR RADIOLOGY REPORT GENERATION,agent_system,57.5
12,a-survey-of-llm-based-agents-in-medicine,A Survey of LLM-based Agents in Medicine,survey_review,86.67
